exam_code,topic,question,option_a,option_b,option_c,option_d,option_e,option_f,correct_answer
SAP-C02,Task 1.1: Architect network connectivity strategies.,"A company runs an application in the cloud that consists of a database and a website. Users can post data to the website, have the data processed, and have the data sent back to them in an email. Data is stored in a MySQL database running on an Amazon EC2 instance. The database is running in a VPC with two private subnets. The website is running on Apache Tomcat in a single EC2 instance in a different VPC with one public subnet. There is a single VPC peering connection between the database and website VPC. The website has suffered several outages during the last month due to high traffic. Which actions should a solutions architect take to increase the reliability of the application? Choose three.",Place the Tomcat server in an autoscaling group with multiple EC2 instances behind an application load balancer.,Provision an additional VPC peering connection.,Migrate the MySQL database to Amazon Aurora with one Aurora replica.,Provision two NAT gateways in the database VPC.,Move the Tomcat server to the database VPC.,Create an additional public subnet in a different availability zone in the website VPC.,"A,C,F"
SAP-C02,Task 1.2: Prescribe security controls.,"A retail company is mounting IoT sensors in all of its stores worldwide. During the manufacturing of each sensor, the company's private certificate authority, CA, issues an X509 certificate that contains a unique serial number. The company then deploys each certificate to its respective sensor. A solution's architect needs to give the sensors the ability to send data to AWS after they are installed. Sensors must not be able to send data to AWS until they are installed. Which solution will meet these requirements? A create an AWS Lambda function that can validate the serial number. Create an AWS IoT core provisioning template. Include the serial number parameter in the parameters section. Add the Lambda function as a pre-provisioning hook. During manufacturing, call the register thing API operation and specify the template and parameters.","A create an AWS Lambda function that can validate the serial number. Create an AWS IoT core provisioning template. Include the serial number parameter in the parameters section. Add the Lambda function as a pre-provisioning hook. During manufacturing, call the register thing API operation and specify the template and parameters.",Create an AWS step function state machine that can validate the serial number. Create an AWS IoT core provisioning template. Include the serial number parameter in the parameters section. Specify the step function state machine to validate parameters. Call the start thing registration task API operation during installation.,Create an AWS Lambda function that can validate the serial number. Create an AWS IoT core provisioning template. Include the serial number parameter in the parameters section. Add the Lambda function as a pre-provisioning hook. Register the CA with AWS IoT core. Specify the provisioning template and set the allow autoregistration parameter.,Create an AWS IoT Core provisioning template. Include the serial number parameter in the parameters section. Include parameter validation in the template. Provision a claim certificate and a private key for each device that uses the CA. Grant AWS IoT core service permissions to update AWS IoT things during provisioning.,,,C
SAP-C02,Task 1.1: Architect network connectivity strategies.,"A team of data scientists is using Amazon SageMaker instances and SageMaker APIs to train machine learning ML models. The SageMaker instances are deployed in a VPC that does not have access to or from the internet. Data sets for ML model training are stored in an Amazon S3 bucket. Interface VPC endpoints provide access to Amazon S3 and the SageMaker APIs. Occasionally, the data scientists require access to the Python package index Pippi repository to update Python packages that they use as part of their workflow. A solution's architect must provide access to the Pippi repository while ensuring that the SageMaker instances remain isolated from the internet. Which solution will meet these requirements?",Create an AWS code commit repository for each package that the data scientists need to access. Configure code synchronization between the Pippi repository and the code commit repository. Create a VPC endpoint for code commit.,Create a NAT gateway in the VPC. Configure VPC routes to allow access to the internet with a network ACL that allows access to only the Pippi repository endpoint.,Create a NAT instance in the VPC. Configure VPC routes to allow access to the internet. Configure SageMaker notebook instance firewall rules that allow access to only the Pippi repository endpoint.,Create an AWS code artifact domain and repository. Add an external connection for public to the code artifact repository. Configure the Python client to use the code artifact repository. Create a VPC endpoint for code artifact.,,,D
SAP-C02,Task 1.4: Design a multi-account AWS environment.,"A company uses AWS organizations to manage more than 1,000 AWS accounts. The company has created a new developer organization. There are 540 developer member accounts that must be moved to the new developer organization. All accounts are set up with all the required information so that each account can be operated as a standalone account. Which combination of steps should a solutions architect take to move all of the developer accounts to the new developer organization? Choose three.",Call the move account operation in the organization's API from the old organization's management account to migrate the developer accounts to the new developer organization.,"From the management account, remove each developer account from the old organization using the remove account from organization operation in the organization's API.",from each developer account. Remove the account from the old organization using the remove account from organization operation in the organization's API. Dign to the new developer organizations management account and create a placeholder member account that acts as a target for the developer account migration. E call the invite account toorgganization operation in the organizations API from the new developer organizations management account to send invitations to the developer accounts.,create a placeholder member account. This is incorrect. There is no concept of a placeholder account for this process. You invite the actual existing AWS account using its account ID or root email address. This step is unnecessary and not part of the correct procedure.,Call the invite account to organization operation from the new developer organizations management account. This is a correct step. Once the developer accounts have been removed from the old organization and are standalone as done in step,Have each developer sign into their account and confirm to join the new developer organization.,"B,E,F"
SAP-C02,Task 1.1: Architect network connectivity strategies.,"A company owns a chain of travel agencies and is running an application in the AWS cloud. Company employees use the application to search for information about travel destinations. Destination content is updated four times each year. Two fixed Amazon EC2 instances serve the application. The company uses an Amazon route 53 public hosted zone with a multialue record of travel.ample.com that returns the elastic IP addresses for the EC2 instances. The application uses Amazon DynamoB as its primary data store. The company uses a self-hosted Reddus instance as a caching solution. During content updates, the load on the EC2 instances and the caching solution increases drastically. This increased load has led to downtime on several occasions. A solution's architect must update the application so that the application is highly available and can handle the load that is generated by the content updates. Which solution will meet these requirements?",Set up DynamoB accelerator DAX as in memory cache. Update the application to use DAX. Create an autoscaling group for the EC2 instances. Create an application load balancer ALB. Set the autoscaling group as a target for the ALB. Update the route 53 record to use a simple routing policy that targets the ALB's DNS alias. Configure scheduled scaling for the EC2 instances before the content updates.,Set up Amazon Elastic for Reddus. Update the application to use elastic. Create an autoscaling group for the EC2 instances. Create an Amazon CloudFront distribution and set the autoscaling group as an origin for the distribution. Update the route 53 record to use a simple routing policy that targets the CloudFront distribution's DNS alias. Manually scale up EC2 instances before the content updates.,Set up Amazon Elastic for me. Update the application to use elastic. Create an autoscaling group for the EC2 instances. Create an application load balancer ALB. Set the autoscaling group as a target for the ALB. Update the route 53 record to use a simple routing policy that targets the ALB's DNS alias. Configure scheduled scaling for the application before the content updates.,Set up DynamoB accelerator DAX as in memory cache. Update the application to use DAX. Create an autoscaling group for the EC2 instances. Create an Amazon CloudFront distribution and set the autoscaling group as an origin for the distribution. Update the route 53 record to use a simple routing policy that targets the CloudFront distribution's DNS alias. Manually scale up EC2 instances before the content updates.,,,A
SAP-C02,Task 1.2: Prescribe security controls.,A company needs to improve the security of its web-based application on AWS. The application uses Amazon CloudFront with two custom origins. The first custom origin routes requests to an Amazon API gateway HTTP API. The second custom origin routes traffic to an application load balancer ALB. The application integrates with an open ID connect OIDC identity provider IDP for user management. A security audit shows that a JSON web token JWT authorizer provides access to the API. The security audit also shows that the ALB accepts requests from unauthenticated users. A solution's architect must design a solution to ensure that all back-end services respond to only authenticated users. Which solution will meet this requirement?,Configure the ALB to enforce authentication and authorization by integrating the ALB with the IDP. Allow only authenticated users to access the back-end services.,Modify the CloudFront configuration to use signed URLs. Implement a permissive signing policy that allows any requests to access the backend services.,Create an AWSWAF web ACL that filters out unauthenticated requests at the ALB level. Allow only authenticated traffic to reach the backend services.,Enable AWS Cloud Trail to log all requests that come to the ALB. Create an AWS Lambda function to analyze the logs and block any requests that come from unauthenticated users.,,,A
SAP-C02,Task 1.4: Design a multi-account AWS environment.,"An enterprise company wants to allow its developers to purchase third party software through AWS Marketplace. The company uses an AWS organization's account structure with full features enabled and has a shared services account in each organizational unit OU that will be used by procurement managers. The procurement team's policy indicates that developers should be able to obtain thirdparty software from an approved list only and use private marketplace in AWS marketplace to achieve this requirement. The procurement team wants administration of private marketplace to be restricted to a role named procurement manager role which could be assumed by procurement managers. Other IM users, groups, roles and account administrators in the company should be denied private marketplace administrative access. What is the most efficient way to design an architecture to meet these requirements?",Create an IM role named procurement manager role in all AWS accounts in the organization. Add the power user access managed policy to the role. Apply an inline policy to all IM users and roles in every AWS account to deny permissions on the AWS private marketplace admin full access managed policy.,Create an IM role named procurement manager role in all AWS accounts in the organization. Add the administrator access managed policy to the role. Define a permissions boundary with the AWS private marketplace admin full access managed policy and attach it to all the developer roles.,Create an IM role named procurement manager role in all the shared services accounts in the organization. Add the AWS private marketplace admin full access managed policy to the role. Create an organization rootle SCP to deny permissions to administer private marketplace to everyone except the role named procurement manager role. Create another organization rootle SCP to deny permissions to create an IM role named procurement manager role to everyone in the organization.,Create an IM role named procurement manager role in all AWS accounts that will be used by developers. Add the AWS private marketplace admin full access managed policy to the role. Create an SCP in organizations to deny permissions to administer private marketplace to everyone except the role named procurement manager role. Apply the SCP to all the shared services accounts in the organization.,,,C
SAP-C02,Task 1.3: Design reliable and resilient architectures.,A company wants to migrate its on- premises application to AWS. The database for the application stores structured product data and temporary user session data. The company needs to decouple the product data from the user session data. The company also needs to implement replication in another AWS region for disaster recovery. Which solution will meet these requirements with the highest performance?,Create an Amazon RDSDB instance with separate schemas to host the product data and the user session data. Configure a read replica for the DB instance in another region.,Create an Amazon RDSDB instance to host the product data. Configure a read replica for the DB instance in another region. Create a global data store in Amazon Elastic for Memake to host the user session data.,Create two Amazon Dynamob global tables. Use one global table to host the product data. Use the other global table to host the user session data. Use Dynamob accelerator DAX for caching.,Create an Amazon RDSDB instance to host the product data. Configure a read replica for the DB instance in another region. Create an Amazon DynamoB global table to host the user session data.,,,C
SAP-C02,Task 1.3: Design reliable and resilient architectures.,"A solutions architect has launched multiple Amazon EC2 instances in a placement group within a single availability zone. Because of additional load on the system, the solutions architect attempts to add new instances to the placement group. However, the solutions architect receives an insufficient capacity error. What should the solutions architect do to troubleshoot this issue?",Use a spread placement group. Set a minimum of eight instances for each availability zone.,Stop and start all the instances in the placement group. Try the launch again.,Create a new placement group. Merge the new placement group with the original placement group.,Launch the additional instances as dedicated hosts in the placement groups.,,,B
SAP-C02,Task 2.5: Design a solution to meet performance objectives.,A media storage application uploads user photos to Amazon S3 for processing by AWS Lambda functions. Application state is stored in Amazon Dynamob tables. Users are reporting that some uploaded photos are not being processed properly. The application developers trace the logs and find that Lambda is experiencing photo processing issues when thousands of users upload photos simultaneously. The issues are the result of Lambda concurrency limits and the performance of Dynamob when data is saved. Which combination of actions should a solutions architect take to increase the performance and reliability of the application? Choose to,Evaluate and adjust the RCUs for the Dynamob tables. B evaluate and adjust the WCUs for the Dynamob tables.,Evaluate and adjust the WCUs for the Dynamo DB tables. This is a correct choice. WCUs write capacity units directly control the number of write operations a DynamoB table can handle per second. The performance issue when saving data is a classic symptom of insufficient WCUs which leads to throttling. Increasing the WCUs will allow the table to handle the high volume of simultaneous writes from the Lambda functions directly solving this part of the problem.,Add an Amazon Elastic Cache layer to increase the performance of Lambda functions.,"Add an Amazon simple Q service, Amazon SQS, Q and reprocessing logic between Amazon S3 and the Lambda functions.",Use S3 transfer acceleration to provide lower latency to users.,,"B,D"
SAP-C02,Task 1.2: Prescribe security controls.,A company is building a solution in the AWS cloud. Thousands of devices will connect to the solution and send data. Each device needs to be able to send and receive data in real time over the MQTT protocol. Each device must authenticate by using a unique X509 certificate. Which solution will meet these requirements with the least operational overhead?,Set up AWS IoT core for each device. Create a corresponding Amazon MQ and provision a certificate. Connect each device to Amazon MQ.,Create a network load balancer NLB and configure it with an AWS Lambda authorizer. Run an MQTT broker on Amazon EC2 instances in an autoscaling group. Set the autoscaling group as the target for the NLB. Connect each device to the NLB.,Set up AWS IoT core for each device. Create a corresponding AWS IoT thing and provision a certificate. Connect each device to AWS IoT core.,Set up an Amazon API gateway HTTP API and a network load balancer NLB. Create integration between API gateway and the NLB. Configure a mutual TLS certificate authorizer on the HTTP API. Run an MQTT broker on an Amazon EC2 instance that the NLB targets. Connect each device to the NLB.,,,C
SAP-C02,Task 2.4: Design a strategy to meet reliability requirements.,"A utility company wants to collect usage data every 5 minutes from its smart meters to facilitate time of use metering. When a meter sends data to AWS, the data is sent to Amazon API gateway, processed by an AWS Lambda function, and stored in an Amazon DynamoB table. During the pilot phase, the Lambda functions took from 3 to 5 seconds to complete. As more smart meters are deployed, the engineers notice the Lambda functions are taking from 1 to 2 minutes to complete. The functions are also increasing in duration as new types of metrics are collected from the devices. There are many provisioned throughput exceeded exception errors while performing put operations on DynamoB and there are also many too many requests exception errors from Lambda. Which combination of changes will resolve these issues? Choose to A increase the right capacity units to the Dynamo DB table. B increase the memory available to the Lambda functions. C increase the payload size from the smart meters to send more data. Dstream the data into an Amazon Kinesis data stream from API gateway and process the data in batches. E collect data in an Amazon SQS FIFO Q which triggers a lambda function to process each message. All right, this scenario is a textbook case of an architecture that works well at a small scale but fails under high load. The question is very helpful because it gives us the exact error messages which are our primary clues to the root causes. Provisioned throughput exceeded exception on Dynamo DB. This is an unambiguous error. It means the application is attempting to write to the DynamoB table at a higher rate than the provisioned write capacity units. WCUs allow the database is throttling the requests. Too many requests exception from lambda. In this synchronous API gateway lambda pattern, each API call triggers a lambda function. This error means the sheer volume of simultaneous requests is exceeding the Lambda services concurrency limits for the account causing invocations to be throttled. Increased Lambda duration. The functions are getting slower because they are likely retrying the throttle Dynamob put operations waiting and retrying again which extends their runtime. The solution must address both the database bottleneck and the flawed overly synchronous invocation pattern. Let's evaluate the options.","increase the right capacity units to the Dynamo DB table. This is a correct choice. This action directly addresses the provisioned throughput exceeded exception errors. By increasing the WCUs on the Dynamo DB table, you provision more right throughput allowing the table to handle the higher volume of put operations from the scaled out application without throttling.","Increase the memory available to the Lambda functions. This is incorrect. Increasing a lambda functions memory also increases its CPU allocation. However, the problem is not that the function is CPUbound or memory constrained. The problem is that it is I/Obound waiting for a downstream service Dynamob that is throttling it. Giving the function more power will not make the database accept writes any faster.","Increase the payload size from the smart meters to send more data. This is incorrect. Sending more data per request would likely exacerbate the problem by increasing the processing time and the amount of data to be written to DynamoB per invocation without fixing the underlying architectural issues. Dstream the data into an Amazon Kinesis data stream from API gateway and process the data in batches. This is a correct choice. This is a fundamental architectural improvement that solves the too many requests exception. Instead of a synchronous one col one invocation, API gateway can be configured to quickly put records into a Kinesis data stream. Kinesis is designed to ingest massive volumes of streaming data. The Lambda function is then invoked with a batch of records from the stream. This decouples the ingestion from the processing, dramatically reduces the number of Lambda invocations, and allows for more efficient batch writes to Dynamob. This is the standard pattern for high throughput data ingestion. E collect data in an Amazon SQS FIFOQ. This option is plausible but not the best choice. While using a Q is the right idea to buffer requests, an SQS FIFOQ is designed for strict ordering and exactly once processing, which comes at the cost of significantly lower throughput compared to Kinesis or even SQS standard Q's. For a high volume smart meter use case, the throughput limits of a FIFOQ could become the new bottleneck. Kinesis data streams as in option","is the purpose-built service for this type of high-vol data streaming. Therefore, the correct answers are A and",,,"A,D"
SAP-C02,Task 1.1: Architect network connectivity strategies.,A company has many services running in its on premises data center. The data center is connected to AWS using AWS Direct Connect DX and an AWS using AWS Direct Connect DX and an IPSecVPN. The service data is sensitive and connectivity cannot traverse the internet. The company wants to expand into a new market segment and begin offering its services to other companies that are using AWS. Which solution will meet these requirements? Create a VPC endpoint service that accepts TCP traffic. host it behind a network load balancer and make the service available over DX.,Create a VPC endpoint service that accepts TCP traffic. host it behind a network load balancer and make the service available over DX.,Create a VPC endpoint service that accepts HTTP or HTTPS traffic. Host it behind an application load balancer and make the service available over DX.,Attach an internet gateway to the VPC and ensure that network access control and security group rules allow the relevant inbound and outbound traffic.,Attach a NAT gateway to the VPC and ensure that network access control and security group rules allow the relevant inbound and outbound traffic.,,,A
SAP-C02,Task 2.4: Design a strategy to meet reliability requirements.,"A company has an application that uses Amazon EC2 instances in an autoscaling group. The quality assurance QA department needs to launch a large number of short-lived environments to test the application. The application environments are currently launched by the manager of the department using an AWS cloud for template. To launch the stack, the manager uses a role with permission to use cloud for EC2 and autoscaling APIs. The manager wants to allow testers to launch their own environments but does not want to grant broad permissions to each user. Which setup would achieve these goals?",Upload the AWS cloud for template to Amazon S3. Give users in the QA department permission to assume the manager's role and add a policy that restricts the permissions to the template and the resources it creates. Train users to launch the template from the cloud for console.,Create an AWS service catalog product from the environment template. Add a launch constraint to the product with the existing role. Give users in the QA department permission to use AWS service catalog APIs only. Train users to launch the template from the AWS service catalog console.,Upload the AWS cloud for template to Amazon S3. Give users in the QA department permission to use cloud form and S3 APIs with conditions that restrict the permissions to the template and the resources it creates. Train users to launch the template from the cloud for console.,Create an AWS elastic beantock application from the environment template. Give users in the QA department permission to use elastic beantock permissions only. Train users to launch elastic beantock environments with the elastic beantock cli passing the existing role to the environment as a service role.,,,B
