exam_code,channel,video_id,video_title,source_group,age_observed,cutoff_date,decision,question_count,reason
SAP-C02,DailyDebian,1w0UKdeIj3c,AWS SAP-C02 Real Exam Questions 2026 Part Q1-10,dailydebian similar channel,9 months ago,2025-02-13,skipped_incomplete_options,10,Questions detected but captions do not consistently provide a complete labeled option set for admin import
SAP-C02,DailyDebian,RsJz96TwxjQ,AWS SAP-C02 Real Exam Questions 2026 Part Q11-20,dailydebian similar channel,9 months ago,2025-02-13,skipped_incomplete_options,,Questions detected but captions do not consistently provide a complete labeled option set for admin import
SAP-C02,DailyDebian,uERGfqQFvN8,AWS SAP-C02 Real Exam Questions 2026 Part Q21-30,dailydebian similar channel,9 months ago,2025-02-13,skipped_incomplete_options,,Questions detected but captions do not consistently provide a complete labeled option set for admin import
SAP-C02,DailyDebian,r4KqJ6G2UTc,AWS SAP-C02 Real Exam Questions 2026 Part Q31-40,dailydebian similar channel,9 months ago,2025-02-13,skipped_incomplete_options,,Questions detected but captions do not consistently provide a complete labeled option set for admin import
SAP-C02,DailyDebian,rRApuGIJ5fM,AWS SAP-C02 Real Exam Questions 2026 Part Q41-50,dailydebian similar channel,9 months ago,2025-02-13,skipped_incomplete_options,,Questions detected but captions do not consistently provide a complete labeled option set for admin import
SAP-C02,DailyDebian,YEBOb0DbiLA,AWS SAP-C02 Real Exam Questions 2026 Part Q51-60,dailydebian similar channel,9 months ago,2025-02-13,skipped_incomplete_options,,Questions detected but captions do not consistently provide a complete labeled option set for admin import
SAP-C02,DailyDebian,RbbieLTRqjM,AWS SAP-C02 Real Exam Questions 2026 Part Q61-70,dailydebian similar channel,9 months ago,2025-02-13,skipped_incomplete_options,,Questions detected but captions do not consistently provide a complete labeled option set for admin import
SAP-C02,DailyDebian,KXTyjm3reDY,AWS SAP-C02 Real Exam Questions 2026 Part Q71-80,dailydebian similar channel,9 months ago,2025-02-13,skipped_incomplete_options,,Questions detected but captions do not consistently provide a complete labeled option set for admin import
SAP-C02,DailyDebian,LUxqgxJP-Ig,AWS SAP-C02 Real Exam Questions 2026 Part Q81-90,dailydebian similar channel,9 months ago,2025-02-13,skipped_incomplete_options,,Questions detected but captions do not consistently provide a complete labeled option set for admin import
SAP-C02,DailyDebian,8hkKyveq-BE,AWS SAP-C02 Real Exam Questions 2026 Part Q91-100,dailydebian similar channel,9 months ago,2025-02-13,skipped_incomplete_options,,Questions detected but captions do not consistently provide a complete labeled option set for admin import
SAP-C02,Secure DevOps Mastery,5UOMA61o8KY,Awesome Exams AWS Certified Solutions Architect Professional Part 8,secure devops similar channel,1 year ago,2025-02-13,skipped_no_transcript,,No usable caption transcript returned
SAP-C02,Secure DevOps Mastery,kxmM2rweX0M,Awesome Exams AWS Certified Solutions Architect Professional Part 7,secure devops similar channel,1 year ago,2025-02-13,skipped_no_transcript,,No usable caption transcript returned
SAP-C02,Secure DevOps Mastery,Fn5i4mtWv-A,Awesome Exams AWS Certified Solutions Architect Professional Part 6,secure devops similar channel,1 year ago,2025-02-13,skipped_no_transcript,,No usable caption transcript returned
SAP-C02,CertBoosters,-EwMZqRAaQk,AWS SAP-C02 Practice Questions Pass Solutions Architect Professional Exam,other similar channel,2 months ago,2025-02-13,processed_with_review,4,Four complete questions imported; fifth held out because no answer appears in captions
SAP-C02,Bright Mind & Technology,633Z_0eyySc,AWS Certified Solutions Architect Professional SAP-C02 Questions and Answers 1 to 10,other similar channel,1 month ago,2025-02-13,processed,10,All ten questions have complete labeled options and answers after transcript parsing
SAP-C02,CertQueen Guides,EvCMg6r0c0w,SAP-C02 AWS Certified Solutions Architect Professional Exam 10 Free Questions with Explanations,other similar channel,9 months ago,2025-02-13,skipped_non_question,,Transcript contains general discussion but no reliable question/options/answer blocks
SAP-C02,The Exam Vault,5hiJLub9F-M,May 2025 141-175 Questions SAP-C02,other similar channel,1 year ago,2025-02-13,skipped_no_transcript,,No usable caption transcript returned
